Neighborhood,Neighborhood_Latitude,Neighborhood_Longitude,Venue,Venue_Latitude,Venue_Longitude,Venue_Category
Abhyudaya Nagar,18.99137778,72.84416389,Chops Away,18.9983470028105,72.82796977451493,Chinese Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,Ladu Samrat,18.994526327955356,72.83657359834994,Maharashtrian Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,Aditi NX,19.00257979367198,72.84108608717308,Multicuisine Indian Restaurant
Abids,17.36611111,78.47611111,Shadaab,17.368661119712183,78.4755724156713,Indian Restaurant
Abids,17.36611111,78.47611111,Pista house,17.356609386588662,78.47363710557826,Indian Restaurant
Abids,17.36611111,78.47611111,Osmania General Hospital,17.372106416860685,78.47405946685468,Hospital
Abids,17.36611111,78.47611111,Purani Haveli,17.367318839202387,78.48272830903522,School
Abids,17.36611111,78.47611111,"10 Janpath, Rajdhani Hotel",17.377233769149605,78.4731270507053,Indian Restaurant
Abids,17.36611111,78.47611111,Hotel Niagara,17.37358089483838,78.49115780136282,Indian Restaurant
Abids,17.36611111,78.47611111,Govind Ki Idly,17.364132006800244,78.4737710680256,South Indian Restaurant
Abids,17.36611111,78.47611111,Laxman Ki Bandi,17.378894588428974,78.46397328339408,South Indian Restaurant
Adikmet,17.40694444,78.51277778,Bawarchi,17.40636911819762,78.49766214602543,Indian Restaurant
Adikmet,17.40694444,78.51277778,Surabhi Grand,17.404937837690646,78.51517099262728,Indian Restaurant
Adikmet,17.40694444,78.51277778,Satya Supermarket,17.40120793346819,78.5134906389466,Convenience Store
Adikmet,17.40694444,78.51277778,Spencer's,17.41259208414427,78.49840041371328,Convenience Store
Adikmet,17.40694444,78.51277778,Raghavendra Tiffins,17.39915723229006,78.51219825690798,Indian Restaurant
Adikmet,17.40694444,78.51277778,Shanthi Deluxe,17.39977232975761,78.51302461244845,Indian Restaurant
Adikmet,17.40694444,78.51277778,Sl Diagnostics,17.399956498871788,78.5063002779482,Pharmacy
Adikmet,17.40694444,78.51277778,Papaji Da Dhaba,17.397484150519947,78.51177631665453,Indian Restaurant
Adikmet,17.40694444,78.51277778,Heritage Fresh Super Market,17.402172998401777,78.52147024368374,Convenience Store
Adikmet,17.40694444,78.51277778,Astoria Restaurant,17.406529837121578,78.49713575700014,Indian Restaurant
Adikmet,17.40694444,78.51277778,Kadai Fast Food,17.39765852914418,78.50385344190198,Chinese Restaurant
Adikmet,17.40694444,78.51277778,Sherton Restaurant,17.391434917667624,78.5120755827751,Indian Restaurant
Adikmet,17.40694444,78.51277778,Bollywood Chillys,17.40656918283722,78.49734490444384,Indian Restaurant
Adikmet,17.40694444,78.51277778,Hotel Abhilasha Multicuisine Restaurant A/C,17.406840133037345,78.49675118081774,Indian Restaurant
Adikmet,17.40694444,78.51277778,Santosh Family Dhaba,17.391440409300362,78.51154884776913,Indian Restaurant
Adikmet,17.40694444,78.51277778,Care Hospital,17.415329127736662,78.49815502642119,Hospital
Afzal Gunj,17.37333333,78.47083333,Shadaab,17.368661119712183,78.4755724156713,Indian Restaurant
Afzal Gunj,17.37333333,78.47083333,Osmania General Hospital,17.372106416860685,78.47405946685468,Hospital
Afzal Gunj,17.37333333,78.47083333,"10 Janpath, Rajdhani Hotel",17.377233769149605,78.4731270507053,Indian Restaurant
Afzal Gunj,17.37333333,78.47083333,Santosh Dhaba,17.38848471244846,78.47950940403636,Indian Restaurant
Afzal Gunj,17.37333333,78.47083333,Pista house,17.356609386588662,78.47363710557826,Indian Restaurant
Afzal Gunj,17.37333333,78.47083333,Grand Hotel,17.387760162353516,78.47757720947266,Indian Restaurant
Afzal Gunj,17.37333333,78.47083333,Papaji Ka Dhaba,17.388417891765517,78.47925741384874,Indian Restaurant
Afzal Gunj,17.37333333,78.47083333,"Care Hospital, Nampally",17.385599979467703,78.47443895221794,Hospital
Afzal Gunj,17.37333333,78.47083333,Purani Haveli,17.367318839202387,78.48272830903522,School
Afzal Gunj,17.37333333,78.47083333,Laxman Ki Bandi,17.378894588428974,78.46397328339408,South Indian Restaurant
Afzal Gunj,17.37333333,78.47083333,Govind Ki Idly,17.364132006800244,78.4737710680256,South Indian Restaurant
Afzal Gunj,17.37333333,78.47083333,Pragati,17.38808781386729,78.48113363131787,South Indian Restaurant
Afzal Gunj,17.37333333,78.47083333,Gokul Chat Center,17.384716084990487,78.48315238952637,Chaat Place
Aghapura,17.38833333,78.46444444,Al-humdulillah Hotel,17.390728238550555,78.46299202576266,Indian Restaurant
Aghapura,17.38833333,78.46444444,Santosh Dhaba,17.38848471244846,78.47950940403636,Indian Restaurant
Aghapura,17.38833333,78.46444444,Grand Hotel,17.387760162353516,78.47757720947266,Indian Restaurant
Aghapura,17.38833333,78.46444444,Taj Mahal Hotel,17.391941897116368,78.47691531512557,Hotel
Aghapura,17.38833333,78.46444444,Cafe Bahar,17.399595277716383,78.47856581533269,Indian Restaurant
Aghapura,17.38833333,78.46444444,Papaji Ka Dhaba,17.388417891765517,78.47925741384874,Indian Restaurant
Aghapura,17.38833333,78.46444444,Blue Diamond,17.399272381561246,78.4747498932791,Chinese Restaurant
Aghapura,17.38833333,78.46444444,Mohini Restaurant,17.401926224848605,78.4761530048415,Indian Restaurant
Aghapura,17.38833333,78.46444444,"Care Hospital, Nampally",17.385599979467703,78.47443895221794,Hospital
Aghapura,17.38833333,78.46444444,Kamat Hotel,17.404329985157272,78.46760188735026,Indian Restaurant
Aghapura,17.38833333,78.46444444,Neoretina Eyecare Institute,17.397756437809416,78.47079042281248,Hospital
Aghapura,17.38833333,78.46444444,Hotel Palace Heights,17.39126819382017,78.47734283585434,Hotel
Aghapura,17.38833333,78.46444444,Chutney’s,17.391227,78.476393,Indian Restaurant
Aghapura,17.38833333,78.46444444,Swad tiffins,17.394467911547217,78.47661246746806,Indian Restaurant
Aghapura,17.38833333,78.46444444,Hotel Luminous One Continent,17.392396213647658,78.47760035056109,Indian Restaurant
Aghapura,17.38833333,78.46444444,One Continent Atria,17.39244804080682,78.47766694907705,Indian Restaurant
